indikator,jahr,region,region_typ,gruppe,gruppe_typ,wert,einheit,quelle
wahlbeteiligung,2025,Deutschland,bund,gesamt,gesamt,82.512,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2021,Deutschland,bund,gesamt,gesamt,76.353,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,SPD,partei,16.413,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,SPD,partei,25.706,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,CDU,partei,22.551,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,CDU,partei,18.953,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,GRÜNE,partei,11.606,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,GRÜNE,partei,14.718,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,FDP,partei,4.328,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,FDP,partei,11.428,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,AfD,partei,20.803,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,AfD,partei,10.387,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,CSU,partei,5.97,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,CSU,partei,5.19,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,Die Linke,partei,8.775,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,Die Linke,partei,4.872,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,FREIE WÄHLER,partei,1.549,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,FREIE WÄHLER,partei,2.431,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,Tierschutzpartei,partei,0.971,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,Tierschutzpartei,partei,1.455,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,dieBasis,partei,0.172,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,dieBasis,partei,1.361,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,Die PARTEI,partei,0.489,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,Die PARTEI,partei,0.994,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,Team Todenhöfer,partei,0.049,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,Team Todenhöfer,partei,0.458,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,PIRATEN,partei,0.028,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,PIRATEN,partei,0.366,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,Volt,partei,0.716,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,Volt,partei,0.355,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
