indikator,jahr,region,region_typ,gruppe,gruppe_typ,wert,einheit,quelle
vertrauen_allgemein,2013,Deutschland,bund,Niedrig (ISCED 0-2),bildung,5.1,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,Niedrig (ISCED 0-2),bildung,5.3,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,Niedrig (ISCED 0-2),bildung,4.9,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,Niedrig (ISCED 0-2),bildung,5.1,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,Niedrig (ISCED 0-2),bildung,5.2,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,Mittel (ISCED 3-4),bildung,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,Mittel (ISCED 3-4),bildung,5.6,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,Mittel (ISCED 3-4),bildung,5.3,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,Mittel (ISCED 3-4),bildung,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,Mittel (ISCED 3-4),bildung,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,Hoch (ISCED 5-6),bildung,6.0,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,Hoch (ISCED 5-6),bildung,6.2,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,Hoch (ISCED 5-6),bildung,6.0,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,Hoch (ISCED 5-6),bildung,5.9,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,Hoch (ISCED 5-6),bildung,6.0,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,Frauen,geschlecht,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,Frauen,geschlecht,5.7,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,Frauen,geschlecht,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,Frauen,geschlecht,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,Frauen,geschlecht,5.6,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,Männer,geschlecht,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,Männer,geschlecht,5.7,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,Männer,geschlecht,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,Männer,geschlecht,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,Männer,geschlecht,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,16-24,alter,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,16-24,alter,5.7,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,16-24,alter,5.7,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,16-24,alter,5.7,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,16-24,alter,5.8,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,25-34,alter,5.3,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,25-34,alter,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,25-34,alter,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,25-34,alter,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,25-34,alter,5.6,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,35-49,alter,5.3,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,35-49,alter,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,35-49,alter,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,35-49,alter,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,35-49,alter,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,50-64,alter,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,50-64,alter,5.6,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,50-64,alter,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,50-64,alter,5.4,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,50-64,alter,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,65-74,alter,5.9,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,65-74,alter,6.1,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2023,Deutschland,bund,65-74,alter,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2024,Deutschland,bund,65-74,alter,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2025,Deutschland,bund,65-74,alter,5.6,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2013,Deutschland,bund,gesamt,gesamt,5.5,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
vertrauen_allgemein,2018,Deutschland,bund,gesamt,gesamt,5.7,Skala 0-10,Eurostat ilc_pw03 (allgemeines Vertrauen)
